name, Duration, W, L, ERA, G, GS, SV, IP, H, ER, BB, SO, WHIP
Corbin Burnes, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Beau Burrows, Last 7 Games, 0, 0, 5.06, 4, 0, 0, 5.1, 3, 3, 1, 2, 0.75
Beau Burrows, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Beau Burrows, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Génesis Cabrera, Last 7 Games, 2, 0, 1.00, 7, 0, 0, 9.0, 3, 1, 7, 11, 1.11
Génesis Cabrera, Last 15 Games, 3, 1, 2.70, 11, 0, 0, 13.1, 4, 4, 10, 19, 1.05
Génesis Cabrera, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Trevor Cahill, Last 7 Games, 0, 0, 2.65, 5, 5, 0, 17.0, 9, 5, 11, 20, 1.18
Trevor Cahill, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Trevor Cahill, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Carlos Carrasco, Last 7 Games, 1, 3, 2.92, 7, 7, 0, 37.0, 32, 12, 18, 43, 1.35
Carlos Carrasco, Last 15 Games, 2, 4, 3.12, 9, 9, 0, 49.0, 43, 17, 20, 58, 1.29
Carlos Carrasco, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Cody Carroll, Last 7 Games, 0, 0, 54.00, 3, 0, 0, 2.0, 9, 12, 5, 3, 7.00
Cody Carroll, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Cody Carroll, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Daniel Castano, Last 7 Games, 0, 2, 4.11, 4, 4, 0, 15.1, 16, 7, 8, 8, 1.57
Daniel Castano, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Daniel Castano, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ryan Castellani, Last 7 Games, 1, 2, 5.34, 7, 6, 0, 28.2, 27, 17, 12, 19, 1.36
Ryan Castellani, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ryan Castellani, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Humberto Castellanos, Last 7 Games, 0, 1, 7.45, 7, 0, 0, 9.2, 10, 8, 5, 9, 1.55
Humberto Castellanos, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Humberto Castellanos, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Diego Castillo, Last 7 Games, 0, 0, 4.05, 7, 0, 3, 6.2, 6, 3, 3, 6, 1.35
Diego Castillo, Last 15 Games, 1, 0, 2.51, 15, 0, 3, 14.1, 9, 4, 8, 14, 1.19
Diego Castillo, Last 30 Games, 2, 0, 2.16, 18, 0, 3, 16.2, 9, 4, 8, 18, 1.02
Luis Castillo, Last 7 Games, 1, 5, 4.34, 7, 7, 0, 37.1, 41, 18, 16, 49, 1.53
Luis Castillo, Last 15 Games, 1, 5, 3.95, 8, 8, 0, 43.1, 47, 19, 17, 60, 1.48
Luis Castillo, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
